country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
CHINA,FUQING-3,CN,PWR  ,CNP-1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",2905,1089,1000,1000,2010-12-31,2016-07-03,2016-09-07,2016-10-24,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",83.5,58.5
CHINA,FUQING-4,CN,PWR  ,CNP-1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",2905,1089,1000,1000,2012-11-17,2017-07-16,2017-07-29,2017-09-17,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",73.52,47.07
CHINA,FUQING-5,CN,PWR  ,HPR1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",3050,1161,1075,1075,2015-05-07,2020-10-21,2020-11-27,2021-01-30,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",84.36,32.01
CHINA,FUQING-6,CN,PWR  ,HPR1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",3060,1150,1075,1075,2015-12-22,2021-12-11,2022-01-01,2022-03-25,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",85.9,22.44
CHINA,HAIXING-1,CN,PWR  ,,Considered,Haixing,,,,1210,,,,,,,,,,,,
CHINA,HAIXING-2,CN,PWR  ,,Considered,Haixing,,,,1210,,,,,,,,,,,,
CHINA,HAIYANG-1,CN,PWR  ,AP-1000,Operational,HAIYANG,Seacoast,China Power Investment Group,3415,1250,1126,1170,2009-09-24,2018-08-08,2018-08-17,2018-10-22,,,,"Shandong Nuclear Power Company, Ltd.",90.49,58.39
CHINA,HAIYANG-2,CN,PWR  ,AP-1000,Operational,HAIYANG,Seacoast,China Power Investment Group,3415,1250,1126,1170,2010-06-20,2018-09-29,2018-10-13,2019-01-09,,,,"Shandong Nuclear Power Company, Ltd.",91.64,57.21
CHINA,HAIYANG-3,CN,PWR  ,CAP1000,Under Construction,HAIYANG,Seacoast,China Power Investment Group,3400,1253,1161,1161,2022-07-07,,,,,,,"Shandong Nuclear Power Company, Ltd.",,
CHINA,HAIYANG-4,CN,PWR  ,CAP1000,Under Construction,HAIYANG,Seacoast,China Power Investment Group,3400,1253,1161,1161,2023-04-22,,,,,,,"Shandong Nuclear Power Company, Ltd.",,
CHINA,HONGSHIDING-1,CN,PWR  ,,Cancelled Plan,HONGSHIDING,Seacoast,,,,1,0,,,,,,,2019-11-17,,,
CHINA,HONGSHIDING-2,CN,PWR  ,ACPR1000,Cancelled Plan,HONGSHIDING,Seacoast,CHINA NATIONAL NUCLEAR CORPORATION,,,1,0,,,,,,,2019-11-17,Shandong HONGSHIDING Nuclear Power Plant,,
CHINA,HONGYANHE-1,CN,PWR  ,CPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2007-08-18,2013-01-16,2013-02-17,2013-06-06,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),82.32,88.9
CHINA,HONGYANHE-2,CN,PWR  ,CPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2008-03-28,2013-10-24,2013-11-23,2014-05-13,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),76.11,76.07
CHINA,HONGYANHE-3,CN,PWR  ,CPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2009-03-07,2014-10-27,2015-03-23,2015-08-16,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),74.23,65.42
CHINA,HONGYANHE-4,CN,PWR  ,CPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2009-08-15,2016-03-05,2016-04-01,2016-06-08,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),72.38,58.29
CHINA,HONGYANHE-5,CN,PWR  ,ACPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2015-03-29,2021-06-13,2021-06-25,2021-07-31,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),82.52,26.24
CHINA,HONGYANHE-6,CN,PWR  ,ACPR-1000,Operational,HONGYANHE,Seacoast,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),2905,1119,1061,1061,2015-07-24,2022-04-21,2022-05-02,2022-06-23,,,,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),83.92,19.95
CHINA,JINQIMEN-1,CN,PWR  ,HPR1000,Under Construction,NINGBO,,CHINA NATIONAL NUCLEAR CORPORATION,3180,1233,1233,1233,2025-08-10,,,,,,,CHINA NATIONAL NUCLEAR CORPORATION,,
CHINA,JIYANG-1,CN,PWR  ,,Cancelled Plan,JIYANG,Inland near a river,,,,1000,1000,,,,,,,2019-11-17,,,
CHINA,JIYANG-2,CN,PWR  ,,Cancelled Plan,JIYANG,Inland near a river,,,,1000,1000,,,,,,,2019-11-17,,,
CHINA,JIYANG-3,CN,PWR  ,,Cancelled Plan,JIYANG,Inland near a river,,,,1000,1000,,,,,,,2019-11-17,,,
CHINA,JIYANG-4,CN,PWR  ,,Cancelled Plan,JIYANG,Inland near a river,,,,1000,1000,,,,,,,2019-11-17,,,
CHINA,LIANJIANG-1,CN,PWR  ,CAP1000,Under Construction,LIANJIANG,,China Power Investment Group,3400,1224,1224,1224,2023-09-27,,,,,,,"Zhanjiang Nuclear Power Company, Ltd.",,
CHINA,LIANJIANG-2,CN,PWR  ,CAP1000,Under Construction,LIANJIANG,,China Power Investment Group,3400,1224,1224,1224,2024-04-26,,,,,,,"Zhanjiang Nuclear Power Company, Ltd.",,
CHINA,LING AO-1,CN,PWR  ,M310,Operational,LING AO,Seacoast,LINGAO NUCLEAR POWER COMPANY LTD.,2905,990,950,950,1997-05-15,2002-02-04,2002-02-26,2002-05-28,,,,Daya Bay Nuclear Power Operations and Management C,88.55,166.04
CHINA,LING AO-2,CN,PWR  ,M310,Operational,LING AO,Seacoast,LINGAO NUCLEAR POWER COMPANY LTD.,2905,990,950,950,1997-11-28,2002-08-27,2002-09-14,2003-01-08,,,,Daya Bay Nuclear Power Operations and Management C,88.83,161.89
